Status,Class,Type,Original Price,Price,Address,Address Lot/Unit,District,List Date,Price Date,Days On Market,City,State,Zip,Picture Count,MLS Number,Contract Date,Closing Date,Hotsheet Date
SOLD,Residential,Single Family,2000000,1713500,168 Hana Hwy,,Spreckelsville/Paia/Kuau,1/20/2023,6/16/2023,147,Paia,HI,96779,30,397919,4/18/2023,6/16/2023,6/16/2023
SOLD,Residential,Single Family,699000,550000,851 Lui St,,Lahaina,1/20/2023,6/16/2023,147,Lahaina,HI,96761,30,397918,4/14/2023,6/16/2023,6/16/2023
SOLD,Condominium,Condo,2895000,2800000,3600 Wailea Alanui Dr,1201,Wailea/Makena,2/20/2023,6/16/2023,116,Kihei,HI,96753,41,398179,5/17/2023,6/16/2023,6/16/2023
SOLD,Residential,Single Family,799000,789000,19 Nohokai St,Unit B,Kihei,2/22/2023,4/12/2023,114,Kihei,HI,96753,35,398198,5/19/2023,6/16/2023,6/16/2023
SOLD,Residential,Single Family,1398000,1400000,2837 Panepoo St,,Kihei,4/1/2023,6/16/2023,76,Kihei,HI,96753,29,398521,4/20/2023,6/16/2023,6/16/2023
SOLD,Residential,SF w/Det Ohana or Cottage,1899000,1825000,171 Lower Waiehu Beach Rd,,Wailuku,4/4/2023,6/16/2023,73,Wailuku,HI,96793,47,398537,5/3/2023,6/16/2023,6/16/2023
SOLD,Residential,Single Family,755000,755000,1314 Keao St,,Lahaina,4/17/2023,6/16/2023,50,Lahaina,HI,96761,1,399138,4/18/2023,6/6/2023,6/16/2023
SOLD,Residential,Single Family,850000,850000,516 Waikala St,,Kahului,4/28/2023,4/28/2023,49,Kahului,HI,96732,13,398740,5/3/2023,6/16/2023,6/16/2023
SOLD,Condominium,Condo,1050000,1050000,2450 S Kihei Rd,501,Kihei,5/1/2023,5/1/2023,46,Kihei,HI,96753,35,398757,5/4/2023,6/16/2023,6/16/2023
SOLD,Condominium,Condo,992000,972000,4007 Lower Honoapiilani Rd,204,Napili/Kahana/Honokowai,5/10/2023,6/16/2023,37,Lahaina,HI,96761,42,398831,5/17/2023,6/16/2023,6/16/2023
CANCELED,Residential,SF w/Det Ohana or Cottage,2195000,1995000,3343 Keha Dr,,Maui Meadows,5/6/2023,6/16/2023,44,Kihei,HI,96753,40,398804,,,6/19/2023
CANCELED,Residential,Single Family,3900000,3900000,47 Wailau Pl,Unit A,Lahaina,5/31/2023,5/31/2023,1,Lahaina,HI,96761,30,399010,,,6/19/2023
SOLD,Residential,Single Family,1100000,990000,499 Aki St,,Lahaina,2/16/2023,6/19/2023,123,Lahaina,HI,96761,15,398157,4/20/2023,6/19/2023,6/19/2023
SOLD,Condominium,Condo,2300000,2300000,3300 Wailea Alanui Dr,39E,Wailea/Makena,4/17/2023,4/17/2023,63,Kihei,HI,96753,47,398643,4/25/2023,6/19/2023,6/19/2023
SOLD,Vacant Land,Vacant Land,282000,280000,0 Awawa Rd,,Molokai,4/23/2023,6/19/2023,57,Maunaloa,HI,96770,19,398701,5/6/2023,6/19/2023,6/19/2023
SOLD,Vacant Land,Vacant Land,282000,280000,0 Awawa Rd,,Molokai,4/23/2023,6/19/2023,57,Maunaloa,HI,96770,19,398701,5/6/2023,6/19/2023,6/19/2023
SOLD,Condominium,Condo,595000,605000,1034 Front St,203,Lahaina,5/5/2023,6/19/2023,45,Lahaina,HI,96761,29,398798,5/8/2023,6/19/2023,6/19/2023
CANCELED,Condominium,Condo,999000,999000,475 Front St,413,Lahaina,6/19/2023,6/19/2023,1,Lahaina,HI,96761,6,399165,,,6/20/2023
CANCELED,Condominium,Condo,999000,999000,475 Front St,413,Lahaina,6/19/2023,6/19/2023,1,Lahaina,HI,96761,6,399165,,,6/20/2023
CANCELED,Condominium,Condo,999000,999000,475 Front St,413,Lahaina,6/19/2023,6/19/2023,1,Lahaina,HI,96761,6,399165,,,6/20/2023
SOLD,Residential,Single Family,888000,934888,88 Kuukama St,,Kahului,2/21/2023,6/20/2023,119,Kahului,HI,96732,32,398189,3/2/2023,6/20/2023,6/20/2023
SOLD,Condominium,Condo,998000,1075000,5255 Lower Honoapiilani Rd,212,Napili/Kahana/Honokowai,4/17/2023,6/20/2023,64,Lahaina,HI,96761,17,398636,4/23/2023,6/20/2023,6/20/2023
SOLD,Residential,Single Family,775000,725000,37760 Piilani Hwy,,Kaupo,4/20/2023,6/20/2023,61,Hana,HI,96713,1,399172,4/20/2023,6/20/2023,6/20/2023
ACTIVE,Residential,Single Family,3850000,3850000,81 Maika St,,Wailuku,6/20/2023,6/21/2023,357,Wailuku,HI,96793,46,399184,,,6/21/2023
CANCELED,Condominium,Condo,2375000,2400000,100 Kai La Pl,25 A,Wailea/Makena,4/21/2023,6/12/2023,61,Kihei,HI,96753,50,398680,,,6/21/2023
CANCELED,Condominium,Condo,2375000,2400000,100 Kai La Pl,25 A,Wailea/Makena,4/21/2023,6/12/2023,61,Kihei,HI,96753,50,398680,,,6/21/2023
CANCELED,Condominium,Condo,2375000,2400000,100 Kai La Pl,25 A,Wailea/Makena,4/21/2023,6/12/2023,61,Kihei,HI,96753,50,398680,,,6/21/2023
CANCELED,Condominium,Condo,2375000,2400000,100 Kai La Pl,25 A,Wailea/Makena,4/21/2023,6/12/2023,61,Kihei,HI,96753,50,398680,,,6/21/2023
SOLD,Condominium,Condo,1950000,1500000,50 PUU ANOANO St,3104,Kaanapali,1/12/2023,6/21/2023,160,Lahaina,HI,96761-1962,30,397849,5/22/2023,6/21/2023,6/21/2023
SOLD,Condominium,Condo,735000,675000,4435 Lower Honoapiilani Rd,227,Napili/Kahana/Honokowai,3/31/2023,6/21/2023,49,Lahaina,HI,96761,21,398505,4/30/2023,5/19/2023,6/21/2023
SOLD,Fraction-Partial-Interval,Time Interval,11500,11500,3543 Lower Honoapiilani Rd,F-110 5B,Napili/Kahana/Honokowai,4/21/2023,4/22/2023,61,Lahaina,HI,96761,16,398686,4/22/2023,6/21/2023,6/21/2023
SOLD,Condominium,Condo,839000,760000,2141 Awihi Pl,8,Kihei,5/1/2023,6/21/2023,43,Kihei,HI,96753,30,398760,5/9/2023,6/13/2023,6/21/2023
SOLD,Commercial,Commercial-For Sale,598000,598000,300 Ohukai Rd,B304,Kihei,5/4/2023,6/21/2023,47,Kihei,HI,96753,1,399181,5/4/2023,6/20/2023,6/21/2023
SOLD,Condominium,Condo,2700000,2700000,50 Nohea Kai Dr,3-902,Kaanapali,5/19/2023,5/19/2023,33,Lahaina,HI,96761,42,398916,5/21/2023,6/21/2023,6/21/2023
SOLD,Vacant Land,Vacant Land,650000,525000,825 Kopili St,,Lahaina,4/12/2023,6/22/2023,71,Lahaina,HI,96761,16,398607,5/5/2023,6/22/2023,6/22/2023
SOLD,Condominium,Condo,1950000,1950000,3200 WAILEA ALANUI Dr,1406,Wailea/Makena,4/27/2023,4/27/2023,56,Kihei,HI,96753,45,398722,5/3/2023,6/22/2023,6/22/2023
SOLD,Residential,Single Family,849000,906000,8868 Kula Hwy,,Kula/Ulupalakua/Kanaio,5/1/2023,6/22/2023,52,Kula,HI,96790,10,398750,5/2/2023,6/22/2023,6/22/2023
SOLD,Residential,Single Family,513000,513000,5 W Makahehi Pl,,Kahului,5/5/2023,6/22/2023,48,Kahului,HI,96732,1,399192,5/5/2023,6/22/2023,6/22/2023
SOLD,Condominium,Condo,1120000,1185000,4365 Lower Honoapiilani Rd,101,Napili/Kahana/Honokowai,5/5/2023,6/22/2023,48,Lahaina,HI,96761,28,398792,5/8/2023,6/22/2023,6/22/2023
CANCELED,Vacant Land,Vacant Land,200000,200000,65 Hulumanu Pl,Lot 25-B,Kahakuloa,6/22/2023,6/22/2023,1,Wailuku,HI,96793,1,399197,,,6/23/2023
SOLD,Residential,Single Family,1242000,1170000,96 Nanu Pl,,Wailuku,3/31/2023,6/23/2023,84,Wailuku,HI,96793,25,398530,5/23/2023,6/23/2023,6/23/2023
SOLD,Condominium,Condo,849000,849000,777 S Kihei Rd,232,Kihei,4/28/2023,4/28/2023,56,Kihei,HI,96753,32,398732,4/30/2023,6/23/2023,6/23/2023
SOLD,Residential,Single Family w/Att Ohana,795000,820000,212 Ohukai Rd,,Kihei,5/3/2023,6/23/2023,51,Kihei,HI,96753,10,398775,5/19/2023,6/23/2023,6/23/2023
SOLD,Residential,Single Family w/Att Ohana,795000,820000,212 Ohukai Rd,,Kihei,5/3/2023,6/23/2023,51,Kihei,HI,96753,10,398775,5/19/2023,6/23/2023,6/23/2023
